name,description,damage,encumbrance,armour,wearing,intrinsic,companion
a quixotic undertaking,,,,,0,1,0
abacus,,,1,,0,0,0
arrows,,,1,,0,0,0
assortment of ragged armour,counts as Modest Armour,,2,2,0,0,0
axe,,axe,1,,0,0,0
bale hook,A bale hook counts as a Knife for Damage and grants +1 on rolls to lift heavy objects.,knife,1,,0,0,0
bandolier of plasmic cores,,,1,,0,0,0
barrister’s wig,,,0,0,0,0,0
black clothes of the apprentice,,,0,0,0,0,0
blue star map,The blue star maps of Corda hold the secrets of travel between the spheres. Every juncture in space and time can be found on its many square metred face if one is sufficiently educated in its use. Test Astrology to tell the precise destination of any portal.,,1,,0,0,0
blunt metal dentures,May be used to eat hard objects,knife,1,,0,0,0
bolts,,,1,,0,0,0
bottle of strong but fancy wine,,,1,,0,0,0
bow,,bow,2,,0,0,0
brightly coloured clothing with lots of tassels and bells,(impossible to sneak). Though frivolous looking it is in fact built with the Autarch’s divine alchemy and considered Modest Armour while weighing the same as normal clothing (takes no slots in your inventory).,,0,2,0,0,0
brown overcoat and soft doffing cap of the guild,,,0,0,0,0,0
brushes,,brushes,1,,0,0,0
bundle of candles and matches,,,1,,0,0,0
butcher’s knife,,knife,1,,0,0,0
centaur body,+4 Run,,,,0,0,0
claws,,sword,,,0,1,0
club,,club,1,,0,0,0
collapsible tent,large enough for your stall.,,2,,0,0,0
crossbow,,crossbow,2,,0,0,0
crown,,,1,,0,0,0
curled shoes,,,0,0,0,0,0
curved sword,,sword,1,,0,0,0
detachable autonomous hands,,,,,0,1,0
distinguished sledgehammer,,maul,2,,0,0,0
dream journal,almost full,,1,,0,0,0
dusty robes,,,0,0,0,0,0
embroidered napkin,,,1,,0,0,0
empty firkin,,,1,,0,0,0
empty gremlin jar,,,1,,0,0,0
epopt staff,"An Epopt’s Staff is a tool, an advert, and, in a pinch, a Weapon. In its head is set a cloudy ruby, like a useless magnifying glass, which grants the user +1 Second Sight while peering through it.",staff,1,,0,0,0
exographical surveyors box,,,2,,0,0,0
exquisite pistolet,,pistolet,1,,0,0,0
festooned with keys,counts as Modest Armour,,2,2,0,0,0
flashy robes,,,0,0,0,0,0
flat cap,,,0,0,0,0,0
forked metal dentures,On a Mighty Blow you may cleanly strip all the flesh from one small appendage,mace,1,,0,0,0
fusil,A fusil is a long Weapon that looks like a rifle and can be used in melee as a Club. A Fusil holds 6 charges before the plasmic core needs replacing.,fusil,2,,0,0,0
gargantuan shield,,shield,2,,0,0,0
